date,site,yellow_tub,species_card,species,number,treatment,name,event,Y_II (PAM),n,int_mean,int_std_dev,int_mode,red_mean,red_std_dev,red_mode,green_mean,green_std_dev,green_mode,blue_mean,blue_std_dev,blue_mode
21_11_9,,1,10,cham,25,low,L_4,pre_stress,0.363,67181,45.815,18.232,43(2132),54.846,18.512,56(2059),43.132,19.2,38(2092),39.529,17.542,35(2285)
21_11_9,,1,10,calli ,46,low,L_4,pre_stress,0.276,293382,57.504,23.071,54(6923),75.109,23.245,71(6367),48.954,24.075,43(6672),48.525,23.136,45(6474)
21_11_9,,1,10,chillensis,26,low,L_4,pre_stress,0.258,93590,59.519,29.249,44(2244),76.014,28.706,68(1976),52.899,30.75,33(2206),49.741,29.055,34(2413)
21_11_9,,1,32,cham,6,control,C_8,pre_stress,0.3,85456,41.759,15.813,40(2521),49.232,16.071,47(2431),39.091,16.536,36(2571),36.958,15.249,30(2603)
21_11_9,,1,32,calli ,4,control,C_8,pre_stress,0.239,73586,78.48,23.687,69(1806),101.624,22.971,97(1545),66.61,26.505,55(1622),67.228,23.224,58(1720)
21_11_9,,1,32,chillensis,23,control,C_8,pre_stress,0.366,193591,60.326,26.646,43(3794),74.412,26.16,61(3828),55.373,28.279,38(3730),51.264,26.678,35(3734)
21_11_9,,1,15,cham,4,control,C_3,pre_stress,0.433,48321,50.217,15.378,48(1735),59.08,15.543,60(1714),47.754,15.931,45(1615),43.855,15.372,40(1635)
21_11_9,,1,15,calli ,47,control,C_3,pre_stress,0.278,237907,60.027,21.605,47(7478),85.319,21.115,78(6119),46.904,23.235,40(7996),47.944,22.404,38(7411)
21_11_9,,1,15,chillensis,6,control,C_3,pre_stress,0.289,137741,52.455,27.429,34(3034),65.799,26.948,50(2987),46.457,29.49,23(3269),45.196,26.99,26(2926)
21_11_9,,1,9,cham,28,low,L_3,pre_stress,0.265,54777,45.827,15.46,45(2074),53.804,15.759,55(1939),43.828,16.201,41(2011),39.842,14.972,35(2043)
21_11_9,,1,9,calli ,48,low,L_3,pre_stress,0.373,338906,40.775,24.122,26(11243),56.584,25.684,46(9484),33.586,24.576,17(14350),32.276,23.318,16(13863)
21_11_9,,1,9,chillensis,4,low,L_3,pre_stress,0.333,85529,42.827,21.953,30(3032),57.279,21.984,49(2586),37.635,23.707,20(3204),33.658,21.591,17(3268)
21_11_9,,1,14,cham,10,high,H_4,pre_stress,0.383,48917,52.708,17.007,47(1636),73.907,17.629,72(1527),44.509,18.749,33(1588),39.844,16.301,34(1848)
21_11_9,,1,14,calli ,35,high,H_4,pre_stress,0.202,324105,48.546,26.721,33(9022),65.275,27.845,51(7298),40.885,28,23(10249),39.574,25.611,22(9525)
21_11_9,,1,14,chillensis,25,high,H_4,pre_stress,0.29,201818,44.028,26.074,22(5384),56.702,27.3,40(4057),39.027,27.264,16(7606),36.436,24.842,16(6964)
21_11_9,,1,23,cham,22,control,C_5,pre_stress,0.411,61058,44.574,16.301,41(2122),51.514,16.624,49(2009),41.922,16.557,37(2249),40.27,16.25,39(2105)
21_11_9,,1,23,calli ,12,control,C_5,pre_stress,0.197,228223,54.382,25.026,42(6916),77.169,25.203,67(5852),43.755,26.672,31(7160),42.286,24.9,29(6562)
21_11_9,,1,23,chillensis,19,control,C_5,pre_stress,0.299,156803,47.604,24.402,31(3899),59.001,25.042,46(3317),43.059,25.684,26(4184),40.826,23.706,24(4055)
21_11_9,,1,6,cham,9**,high,H_2,pre_stress,0.302,60550,44.892,21.476,34(1941),60.26,21.641,52(1673),39.222,22.969,29(2048),35.309,20.644,26(2043)
21_11_9,,1,6,calli ,20,high,H_2,pre_stress,0.336,538444,39.092,23.792,25(20019),57.212,24.286,47(13364),30.59,24.709,17(29744),29.572,23.475,15(26481)
21_11_9,,1,6,chillensis,22,high,H_2,pre_stress,0.34,197880,47.531,27.647,30(4586),62.222,27.768,49(3994),41.015,28.676,18(5957),39.459,27.462,17(5608)
21_11_9,,1,7,cham,26,control,C_1,pre_stress,0.303,51187,42.612,19.507,39(1307),50.386,20.322,48(1172),41.095,20.258,37(1350),36.367,18.532,31(1441)
21_11_9,,1,7,calli ,39,control,C_1,pre_stress,0.242,375183,43.444,23.341,37(10720),62.52,25.254,58(8689),34.983,24.07,27(12045),32.929,22.255,24(11425)
